Flight Number, Origin, Destination, Departure Time, Arrival Time, Capacity
INCL055LAS, Las Vegas, Denver, 06:00 AM, 07:30 AM, 190
INCL056HOU, Houston, Dallas, 07:15 AM, 08:45 AM, 170
INCL057ATL, Atlanta, Orlando, 08:30 AM, 10:30 AM, 220
INCL058PHX, Phoenix, San Diego, 10:00 AM, 11:30 AM, 200
INCL059DET, Detroit, Minneapolis, 11:15 AM, 12:45 PM, 180
INCL060PHL, Philadelphia, Charlotte, 12:30 PM, 02:00 PM, 160
INCL061LND, New York, Los Angeles, 01:45 PM, 04:45 PM, 150
INCL062CHI, Chicago, Miami, 03:00 PM, 06:00 PM, 200
INCL063SFO, San Francisco, Seattle, 04:15 PM, 05:45 PM, 180
INCL064BOS, Boston, Washington D.C., 05:45 PM, 07:15 PM, 160
INCL065LAS, Las Vegas, Denver, 07:00 PM, 08:30 PM, 190
INCL066HOU, Houston, Dallas, 08:15 PM, 09:45 PM, 170
INCL067ATL, Atlanta, Orlando, 09:30 PM, 11:30 PM, 220
INCL068PHX, Phoenix, San Diego, 11:00 PM, 12:30 AM, 200
INCL069DET, Detroit, Minneapolis, 12:15 AM, 01:45 AM, 180
INCL070PHL, Philadelphia, Charlotte, 01:30 AM, 03:00 AM, 160
INCL071PAR, Paris, New York, 08:30 AM, 11:30 AM, 150
INCL072LND, London, New York, 09:45 AM, 12:45 PM, 150
INCL073TLV, Tel Aviv, New York, 11:00 AM, 02:00 PM, 150
INCL074ROM, Rome, New York, 12:15 PM, 03:15 PM, 150
INCL075MOW, Moscow, New York, 01:30 PM, 04:30 PM, 150
INCL076BUE, Buenos Aires, New York, 02:45 PM, 05:45 PM, 150
